period,number,big_small,color
60596,4,S,R
60597,9,B,B
60598,5,B,G
60599,0,S,B
60600,8,B,G
60601,7,B,R
60602,7,B,R
60603,7,B,R
60604,6,B,B
60605,2,S,G
60606,5,B,G
60607,2,S,G
60608,3,S,B
60609,6,B,B
60610,3,S,B
60611,0,S,B
60612,0,S,B
60613,2,S,G
60614,2,S,G
60615,1,S,R
60616,3,S,B
60617,4,S,R
60618,4,S,R
60619,9,B,B
60620,7,B,R
60621,5,B,G
60622,9,B,B
60623,3,S,B
60624,7,B,R
60625,0,S,B
60626,9,B,B
60627,0,S,B
60628,6,B,B
60629,5,B,G
60630,5,B,G
60631,5,B,G
60632,2,S,G
60633,2,S,G
60634,7,B,R
60635,9,B,B
60636,7,B,R
60637,5,B,G
60638,2,S,G
60639,7,B,R
60640,8,B,G
60641,5,B,G
60642,6,B,B
60643,6,B,B
60644,8,B,G
60645,9,B,B
60646,2,S,G
60647,8,B,G
60648,7,B,R
60649,9,B,B
60650,0,S,B
60651,5,B,G
60652,6,B,B
60653,3,S,B
60654,7,B,R
60655,0,S,B
60656,0,S,B
60657,1,S,R
60658,7,B,R
60659,2,S,G
60660,3,S,B
60661,5,B,G
60662,2,S,G
60663,8,B,G
60664,5,B,G
60665,2,S,G
60666,4,S,R
60667,2,S,G
60668,1,S,R
60669,4,S,R
60670,5,B,G
60671,6,B,B
60672,4,S,R
60673,8,B,G
60674,5,B,G
60675,1,S,R
60676,4,S,R
60677,3,S,B
60678,9,B,B
60679,4,S,R
60680,2,S,G
60681,0,S,B
60682,5,B,G
60683,7,B,R
60684,6,B,B
60685,6,B,B
60686,2,S,G
60687,0,S,B
60688,8,B,G
60689,7,B,R
60690,3,S,B
60691,1,S,R
60692,4,S,R
60693,4,S,R
60694,2,S,G
60695,2,S,G
60696,9,B,B
60697,1,S,R
60698,8,B,G
60699,5,B,G
60700,4,S,R
60701,5,B,G
60702,8,B,G
60703,4,S,R
60704,3,S,B
60705,9,B,B
60706,3,S,B
60707,9,B,B
60708,2,S,G
60709,0,S,B
60710,6,B,B
60711,1,S,R
60712,2,S,G
60713,7,B,R
60714,6,B,B
60715,7,B,R
60716,9,B,B
60717,3,S,B
60718,1,S,R
60719,6,B,B
60720,0,S,B
60721,8,B,G
60722,8,B,G
60723,6,B,B
60724,6,B,B
60725,9,B,B
60726,8,B,G
60727,1,S,R
60728,3,S,B
60729,7,B,R
60730,8,B,G
60731,6,B,B
60732,9,B,B
60733,2,S,G
60734,7,B,R
60735,4,S,R
60736,0,S,B
60737,7,B,R
60738,3,S,B
60739,6,B,B
60740,7,B,R
60741,9,B,B
60742,1,S,R
60743,1,S,R
60744,5,B,G
60745,0,S,B
60746,3,S,B
60747,8,B,G
60748,8,B,G
60749,1,S,R
60750,2,S,G
60751,8,B,G
60752,0,S,B
60753,5,B,G
60754,2,S,G
60755,8,B,G
60756,9,B,B
60757,6,B,B
60758,8,B,G
60759,9,B,B
60760,6,B,B
60761,4,S,R
60762,3,S,B
60763,8,B,G
60764,9,B,B
60765,9,B,B
60766,1,S,R
60767,3,S,B
60768,5,B,G
60769,7,B,R
60770,1,S,R
60771,3,S,B
60772,8,B,G
60773,4,S,R
60774,0,S,B
60775,3,S,B
60776,9,B,B
60777,1,S,R
60778,5,B,G
60779,9,B,B
60780,9,B,B
60781,2,S,G
60782,5,B,G
60783,7,B,R
60784,7,B,R
60785,1,S,R
60786,4,S,R
60787,3,S,B
60788,5,B,G
60789,4,S,R
60790,9,B,B
60791,5,B,G
60792,4,S,R
60793,8,B,G
60794,6,B,B
60795,7,B,R
60796,2,S,G
60797,9,B,B
60798,5,B,G
60799,6,B,B
60800,7,B,R
60801,5,B,G
60802,5,B,G
60803,9,B,B
60804,0,S,B
60805,7,B,R
60806,1,S,R
60807,0,S,B
60808,6,B,B
60809,1,S,R
60810,1,S,R
60811,5,B,G
60812,1,S,R
60813,9,B,B
60814,8,B,G
60815,3,S,B
60816,8,B,G
60817,1,S,R
60818,8,B,G
60819,7,B,R
60820,1,S,R
60821,3,S,B
60822,7,B,R
60823,7,B,R
60824,9,B,B
60825,6,B,B
60826,0,S,B
60827,3,S,B
60828,0,S,B
60829,3,S,B
60830,2,S,G
60831,8,B,G
60832,8,B,G
60833,9,B,B
60834,9,B,B
60835,7,B,R
60836,9,B,B
60837,1,S,R
60838,6,B,B
60839,1,S,R
60840,8,B,G
60841,1,S,R
60842,5,B,G
60843,5,B,G
60844,9,B,B
60845,6,B,B
60846,0,S,B
60847,5,B,G
60848,4,S,R
60849,9,B,B
60850,3,S,B
60851,9,B,B
60852,5,B,G
60853,3,S,B
60854,5,B,G
60855,6,B,B
60856,4,S,R
60857,4,S,R
60858,9,B,B
60859,6,B,B
60860,8,B,G
60861,4,S,R
60862,5,B,G
60863,9,B,B
60864,4,S,R
60865,4,S,R
60866,2,S,G
60867,4,S,R
60868,0,S,B
60869,0,S,B
60870,8,B,G
60871,4,S,R
60872,1,S,R
60873,2,S,G
60874,8,B,G
60875,4,S,R
60876,6,B,B
60877,0,S,B
60878,0,S,B
60879,9,B,B
60880,8,B,G
60881,9,B,B
60882,4,S,R
60883,6,B,B
60884,2,S,G
60885,6,B,B
60886,7,B,R
60887,2,S,G
60888,6,B,B
60889,9,B,B
60890,4,S,R
60891,0,S,B
60892,3,S,B
60893,6,B,B
60894,3,S,B
60895,4,S,R
60896,3,S,B
60897,2,S,G
60898,8,B,G
60899,6,B,B
60900,7,B,R
60901,5,B,G
60902,1,S,R
60903,2,S,G
60904,1,S,R
60905,6,B,B
60906,2,S,G
60907,0,S,B
60908,4,S,R
60909,0,S,B
60910,1,S,R
60911,9,B,B
60912,3,S,B
60913,4,S,R
60914,9,B,B
60915,2,S,G
60916,5,B,G
60917,1,S,R
60918,9,B,B
60919,2,S,G
60920,1,S,R
60921,5,B,G
60922,7,B,R
60923,5,B,G
60924,5,B,G
60925,5,B,G
60926,2,S,G
60927,5,B,G
60928,1,S,R
60929,4,S,R
60930,0,S,B
60931,7,B,R
60932,4,S,R
60933,0,S,B
60934,5,B,G
60935,0,S,B
60936,3,S,B
60937,8,B,G
60938,0,S,B
60939,7,B,R
60940,5,B,G
60941,9,B,B
60942,3,S,B
60943,8,B,G
60944,3,S,B
60945,2,S,G
60946,9,B,B
60947,1,S,R
60948,7,B,R
60949,8,B,G
60950,2,S,G
60951,9,B,B
60952,5,B,G
60953,7,B,R
60954,6,B,B
60955,8,B,G
60956,0,S,B
60957,8,B,G
60958,1,S,R
60959,2,S,G
60960,3,S,B
60961,2,S,G
60962,0,S,B
60963,4,S,R
60964,4,S,R
60965,2,S,G
60966,2,S,G
60967,3,S,B
60968,0,S,B
60969,5,B,G
60970,7,B,R
60971,7,B,R
60972,6,B,B
60973,7,B,R
60974,1,S,R
60975,2,S,G
60976,0,S,B
60977,4,S,R
60978,4,S,R
60979,2,S,G
60980,4,S,R
60981,3,S,B
60982,2,S,G
60983,5,B,G
60984,2,S,G
60985,2,S,G
60986,6,B,B
60987,4,S,R
60988,0,S,B
60989,6,B,B
60990,7,B,R
60991,5,B,G
60992,7,B,R
60993,5,B,G
60994,9,B,B
60995,2,S,G
60996,5,B,G
60997,1,S,R
60998,7,B,R
60999,1,S,R
60000,6,big,green
60001,0,small,red
60002,5,big,red
60003,7,big,blue
60004,7,big,blue
60005,9,big,green
60006,8,big,red
60007,4,small,green
60008,3,small,red
60009,4,small,green
60010,9,big,green
60011,8,big,red
60012,1,small,green
60013,7,big,blue
60014,8,big,red
60015,4,small,green
60016,3,small,red
60017,4,small,green
60018,6,big,green
60019,2,small,blue
60020,5,big,red
60021,8,big,red
60022,8,big,red
60023,0,small,red
60024,1,small,green
60025,8,big,red
60026,6,big,green
60027,7,big,blue
60028,7,big,blue
60029,7,big,blue
60030,5,big,red
60031,3,small,red
60032,5,big,red
60033,1,small,green
60034,5,big,red
60035,5,big,red
60036,5,big,red
60037,1,small,green
60038,6,big,green
60039,0,small,red
60040,0,small,red
60041,8,big,red
60042,6,big,green
60043,1,small,green
60044,0,small,red
60045,3,small,red
60046,5,big,red
60047,8,big,red
60048,9,big,green
60049,1,small,green
60050,9,big,green
60051,7,big,blue
60052,9,big,green
60053,5,big,red
60054,9,big,green
60055,3,small,red
60056,7,big,blue
60057,8,big,red
60058,1,small,green
60059,1,small,green
60060,4,small,green
60061,3,small,red
60062,5,big,red
60063,2,small,blue
60064,8,big,red
60065,4,small,green
60066,4,small,green
60067,9,big,green
60068,2,small,blue
60069,4,small,green
60070,1,small,green
60071,9,big,green
60072,2,small,blue
60073,0,small,red
60074,6,big,green
60075,4,small,green
60076,1,small,green
60077,5,big,red
60078,3,small,red
60079,8,big,red
60080,2,small,blue
60081,2,small,blue
60082,6,big,green
60083,3,small,red
60084,3,small,red
60085,5,big,red
60086,8,big,red
60087,2,small,blue
60088,6,big,green
60089,9,big,green
60090,3,small,red
60091,7,big,blue
60092,2,small,blue
60093,8,big,red
60094,5,big,red
60095,6,big,green
60096,0,small,red
60097,3,small,red
60098,8,big,red
60099,3,small,red
60100,3,small,red
60101,2,small,blue
60102,0,small,red
60103,1,small,green
60104,5,big,red
60105,5,big,red
60106,8,big,red
60107,9,big,green
60108,6,big,green
60109,2,small,blue
60110,2,small,blue
60111,9,big,green
60112,3,small,red
60113,5,big,red
60114,5,big,red
60115,1,small,green
60116,8,big,red
60117,1,small,green
60118,1,small,green
60119,3,small,red
60120,7,big,blue
60121,9,big,green
60122,0,small,red
60123,6,big,green
60124,0,small,red
60125,9,big,green
60126,2,small,blue
60127,8,big,red
60128,3,small,red
60129,5,big,red
60130,6,big,green
60131,0,small,red
60132,0,small,red
60133,4,small,green
60134,9,big,green
60135,9,big,green
60136,4,small,green
60137,5,big,red
60138,0,small,red
60139,1,small,green
60140,7,big,blue
60141,2,small,blue
60142,2,small,blue
60143,4,small,green
60144,9,big,green
60145,7,big,blue
60146,4,small,green
60147,1,small,green
60148,8,big,red
60149,7,big,blue
60150,0,small,red
60151,4,small,green
60152,4,small,green
60153,9,big,green
60154,3,small,red
60155,9,big,green
60156,4,small,green
60157,3,small,red
60158,9,big,green
60159,8,big,red
60160,5,big,red
60161,2,small,blue
60162,3,small,red
60163,8,big,red
60164,4,small,green
60165,6,big,green
60166,5,big,red
60167,7,big,blue
60168,7,big,blue
60169,3,small,red
60170,2,small,blue
60171,8,big,red
60172,9,big,green
60173,0,small,red
60174,1,small,green
60175,1,small,green
60176,4,small,green
60177,8,big,red
60178,2,small,blue
60179,2,small,blue
60180,5,big,red
60181,4,small,green
60182,6,big,green
60183,5,big,red
60184,8,big,red
60185,2,small,blue
60186,5,big,red
60187,7,big,blue
60188,2,small,blue
60189,6,big,green
60190,0,small,red
60191,8,big,red
60192,7,big,blue
60193,0,small,red
60194,2,small,blue
60195,1,small,green
60196,1,small,green
60197,3,small,red
60198,8,big,red
60199,6,big,green
60200,9,big,green
60201,2,small,blue
60202,5,big,red
60203,2,small,blue
60204,7,big,blue
60205,1,small,green
60206,6,big,green
60207,8,big,red
60208,2,small,blue
60209,0,small,red
60210,2,small,blue
60211,9,big,green
60212,5,big,red
60213,7,big,blue
60214,7,big,blue
60215,5,big,red
60216,9,big,green
60217,4,small,green
60218,8,big,red
60219,2,small,blue
60220,2,small,blue
60221,6,big,green
60222,2,small,blue
60223,9,big,green
60224,5,big,red
60225,9,big,green
60226,0,small,red
60227,1,small,green
60228,1,small,green
60229,5,big,red
60230,4,small,green
60231,1,small,green
60232,2,small,blue
60233,6,big,green
60234,7,big,blue
60235,1,small,green
60236,1,small,green
60237,0,small,red
60238,9,big,green
60239,9,big,green
60240,5,big,red
60241,5,big,red
60242,6,big,green
60243,7,big,blue
60244,2,small,blue
60245,1,small,green
60246,6,big,green
60247,9,big,green
60248,6,big,green
60249,8,big,red
60250,7,big,blue
60251,9,big,green
60252,9,big,green
60253,7,big,blue
60254,0,small,red
60255,6,big,green
60256,3,small,red
60257,6,big,green
60258,9,big,green
60259,8,big,red
60260,9,big,green
60261,7,big,blue
60262,7,big,blue
60263,7,big,blue
60264,7,big,blue
60265,0,small,red
60266,5,big,red
60267,1,small,green
60268,9,big,green
60269,3,small,red
60270,9,big,green
60271,2,small,blue
60272,8,big,red
60273,4,small,green
60274,9,big,green
60275,3,small,red
60276,2,small,blue
60277,1,small,green
60278,7,big,blue
60279,7,big,blue
60280,6,big,green
60281,9,big,green
60282,9,big,green
60283,3,small,red
60284,1,small,green
60285,7,big,blue
60286,6,big,green
60287,5,big,red
60288,2,small,blue
60289,2,small,blue
60290,6,big,green
60291,6,big,green
60292,2,small,blue
60293,8,big,red
60294,2,small,blue
60295,3,small,red
60296,8,big,red
60297,2,small,blue
60298,3,small,red
60299,6,big,green
60300,9,big,green
60301,9,big,green
60302,6,big,green
60303,7,big,blue
60304,5,big,red
60305,1,small,green
60306,2,small,blue
60307,0,small,red
60308,0,small,red
60309,0,small,red
60310,3,small,red
60311,8,big,red
60312,6,big,green
60313,6,big,green
60314,9,big,green
60315,5,big,red
60316,0,small,red
60317,9,big,green
60318,7,big,blue
60319,4,small,green
60320,8,big,red
60321,5,big,red
60322,2,small,blue
60323,7,big,blue
60324,0,small,red
60325,1,small,green
60326,0,small,red
60327,4,small,green
60328,3,small,red
60329,3,small,red
60330,7,big,blue
60331,4,small,green
60332,6,big,green
60333,3,small,red
60334,0,small,red
60335,5,big,red
60336,2,small,blue
60337,6,big,green
60338,4,small,green
60339,4,small,green
60340,8,big,red
60341,2,small,blue
60342,4,small,green
60343,3,small,red
60344,1,small,green
60345,9,big,green
60346,9,big,green
60347,0,small,red
60348,2,small,blue
60349,5,big,red
60350,0,small,red
60351,2,small,blue
60352,9,big,green
60353,9,big,green
60354,7,big,blue
60355,8,big,red
60356,6,big,green
60357,9,big,green
60358,1,small,green
60359,1,small,green
60360,8,big,red
60361,7,big,blue
60362,6,big,green
60363,1,small,green
60364,9,big,green
60365,1,small,green
60366,5,big,red
60367,7,big,blue
60368,9,big,green
60369,4,small,green
60370,6,big,green
60371,4,small,green
60372,2,small,blue
60373,4,small,green
60374,9,big,green
60375,2,small,blue
60376,9,big,green
60377,3,small,red
60378,3,small,red
60379,8,big,red
60380,9,big,green
60381,4,small,green
60382,4,small,green
60383,9,big,green
60384,4,small,green
60385,4,small,green
60386,8,big,red
60387,3,small,red
60388,0,small,red
60389,0,small,red
60390,3,small,red
60391,0,small,red
60392,5,big,red
60393,6,big,green
60394,5,big,red
60395,3,small,red
60396,2,small,blue
60397,0,small,red
60398,8,big,red
60399,4,small,green
60400,9,big,green
60401,6,big,green
60402,5,big,red
60403,1,small,green
60404,9,big,green
60405,5,big,red
60406,4,small,green
60407,4,small,green
60408,6,big,green
60409,3,small,red
60410,1,small,green
60411,5,big,red
60412,9,big,green
60413,4,small,green
60414,2,small,blue
60415,9,big,green
60416,2,small,blue
60417,7,big,blue
60418,2,small,blue
60419,5,big,red
60420,6,big,green
60421,2,small,blue
60422,0,small,red
60423,6,big,green
60424,1,small,green
60425,4,small,green
60426,9,big,green
60427,7,big,blue
60428,5,big,red
60429,2,small,blue
60430,0,small,red
60431,0,small,red
60432,7,big,blue
60433,9,big,green
60434,3,small,red
60435,4,small,green
60436,5,big,red
60437,4,small,green
60438,0,small,red
60439,0,small,red
60440,1,small,green
60441,5,big,red
60442,9,big,green
60443,1,small,green
60444,3,small,red
60445,3,small,red
60446,2,small,blue
60447,1,small,green
60448,0,small,red
60449,3,small,red
60450,9,big,green
60451,7,big,blue
60452,7,big,blue
60453,6,big,green
60454,1,small,green
60455,0,small,red
60456,2,small,blue
60457,3,small,red
60458,8,big,red
60459,2,small,blue
60460,5,big,red
60461,2,small,blue
60462,1,small,green
60463,1,small,green
60464,4,small,green
60465,3,small,red
60466,7,big,blue
60467,9,big,green
60468,7,big,blue
60469,5,big,red
60470,6,big,green
60471,7,big,blue
60472,7,big,blue
60473,8,big,red
60474,1,small,green
60475,4,small,green
60476,0,small,red
60477,0,small,red
60478,5,big,red
60479,0,small,red
60480,4,small,green
60481,2,small,blue
60482,3,small,red
60483,1,small,green
60484,2,small,blue
60485,4,small,green
60486,4,small,green
60487,1,small,green
60488,3,small,red
60489,1,small,green
60490,3,small,red
60491,1,small,green
60492,0,small,red
60493,9,big,green
60494,1,small,green
60495,7,big,blue
60496,5,big,red
60497,9,big,green
60498,8,big,red
60499,8,big,red
60500,1,small,green
60501,3,small,red
60502,8,big,red
60503,4,small,green
60504,9,big,green
60505,7,big,blue
60506,1,small,green
60507,6,big,green
60508,6,big,green
60509,1,small,green
60510,7,big,blue
60511,0,small,red
60512,5,big,red
60513,5,big,red
60514,3,small,red
60515,2,small,blue
60516,5,big,red
60517,8,big,red
60518,6,big,green
60519,6,big,green
60520,6,big,green
60521,9,big,green
60522,1,small,green
60523,7,big,blue
60524,4,small,green
60525,3,small,red
60526,6,big,green
60527,6,big,green
60528,2,small,blue
60529,7,big,blue
60530,1,small,green
60531,2,small,blue
60532,9,big,green
60533,9,big,green
60534,9,big,green
60535,2,small,blue
60536,1,small,green
60537,5,big,red
60538,5,big,red
60539,9,big,green
